id_vendedor,nombre_vendedor,apellido_vendedor,correo_vendedor,dpi_vendedor
1,Gwenneth,Moakes,gmoakes0@techcrunch.com,2329042301170
2,Teriann,Kastel,tkastel1@i2i.jp,3421932886436
3,La verne,Troillet,ltroillet2@ox.ac.uk,6175384333844
4,Ban,Gartrell,bgartrell3@t.co,3294575095793
5,Robb,Pulhoster,rpulhoster4@samsung.com,7433219748892
6,Lance,Sauvain,lsauvain5@census.gov,1487997872591
7,Reed,Briston,rbriston6@oaic.gov.au,1917619609159
8,Baron,Poulglais,bpoulglais7@wunderground.com,8733520202341
9,Agace,Taillant,ataillant8@ustream.tv,3504891247819
10,Marijn,Swindley,mswindley9@shinystat.com,6977687202185
11,Sunny,Betancourt,sbetancourta@virginia.edu,9378032783058
12,Gabbey,Krop,gkropb@mtv.com,5081633617451
13,Ruddy,Sandbatch,rsandbatchc@columbia.edu,1272842863322
14,Wadsworth,Jimmison,wjimmisond@163.com,5637833020535
15,Yancy,Dungate,ydungatee@nih.gov,6136730075421
16,Lisbeth,Goddert.sf,lgoddertsff@tiny.cc,8938086352492
17,Fanny,Fattori,ffattorig@163.com,8940354920592
18,Klement,Badini,kbadinih@e-recht24.de,7974697833454
19,Dania,Krol,dkroli@freewebs.com,2878631226582
20,Clovis,Oseman,cosemanj@china.com.cn,8566248785104
21,Stephani,Leele,sleelek@myspace.com,0911374726786
22,Ira,Sate,isatel@loc.gov,0538474216294
23,Melany,Fillingham,mfillinghamm@theatlantic.com,7606529525002
24,Eal,Verlinde,everlinden@nifty.com,8395954697814
25,Marjy,Marzele,mmarzeleo@nasa.gov,2744219267163
26,Erl,Lidgerton,elidgertonp@myspace.com,0345313386338
27,Knox,McArthur,kmcarthurq@unblog.fr,4872118398847
28,Cloris,Cheley,ccheleyr@cbsnews.com,8365250877277
29,Newton,Bess,nbesss@omniture.com,9477089112677
30,Chryste,Eagles,ceaglest@angelfire.com,4637710203228
31,Danie,Dumbreck,ddumbrecku@newyorker.com,3964362332235
32,Ardisj,McKague,amckaguev@mtv.com,4742792547878
33,Mikael,Everest,meverestw@cpanel.net,9734356747742
34,Cosmo,Wharrier,cwharrierx@thetimes.co.uk,3152307073269
